"","Group.1","sr87_86","SE.1s.","Li","B","Na","Mg","Al","K","Ca","Ti","V","Mn","Fe","Ni","Cu","Zn","As","Rb","Sr","Sb","Ba","La","Ce","Pr","Nd","Ho","Tl","Pb","U"
"46",50,0.71103,1e-05,0.0025,0.007,2.1,0.37,0.008,0.6,1,7e-04,1e-04,0.12582,0.062,0.00087,4e-04,0.0032,4e-04,0.00211,0.009,2e-05,0.02,1.3e-05,5e-05,5e-06,3.8e-05,3e-06,3e-05,2e-05,8e-06
"47",51,0.71009,1e-05,0.000146341463414634,0.0024390243902439,0.878048780487805,0.387804878048781,0.00926829268292683,0.390243902439024,4.1,0.000341463414634146,8.53658536585366e-05,0.0067219512195122,0.0341463414634146,0.000163414634146341,0.000219512195121951,0.000341463414634146,0.000121951219512195,0.00102439024390244,0.00951219512195122,4.87804878048781e-06,0.00731707317073171,4.70731707317073e-05,9.02439024390244e-05,1.31707317073171e-05,5.1219512195122e-05,1.21951219512195e-06,7.31707317073171e-06,1.70731707317073e-05,6.82926829268293e-06
"48",52,0.70704,1e-05,3e-05,0.0011,0.905,0.271,5e-04,0.085,20,2e-05,6.7e-05,3e-05,0.00025,3e-05,2e-05,3.5e-05,5.5e-05,0.0002005,0.0071,2.5e-06,0.002025,4e-07,1e-06,2e-07,1e-06,1.5e-07,1.5e-06,1e-06,1.515e-05
"49",53,0.70671,1e-05,2.39043824701195e-05,0.000916334661354582,0.928286852589641,0.318725099601594,0.000278884462151394,0.115537848605578,25.1,2.78884462151394e-05,4.34262948207171e-05,3.18725099601594e-05,0.000159362549800797,4.74103585657371e-05,3.18725099601594e-05,1.99203187250996e-05,7.17131474103586e-05,0.000139840637450199,0.00892430278884462,3.98406374501992e-06,0.00272908366533865,3.18725099601594e-07,7.96812749003984e-07,1.59362549800797e-07,7.96812749003984e-07,1.19521912350598e-07,1.19521912350598e-06,7.96812749003984e-07,1.02788844621514e-05
"50",54,0.70604,1e-05,3.42857142857143e-05,8e-04,0.702857142857143,0.570285714285714,0.0016,0.04,17.5,5.71428571428571e-05,0.000194285714285714,0.000617142857142857,0.000171428571428571,2.62857142857143e-05,5.14285714285714e-05,8.57142857142857e-05,6.28571428571429e-05,5.48571428571429e-05,0.00782857142857143,2.85714285714286e-06,0.00166857142857143,5.14285714285714e-07,1.14285714285714e-06,2.28571428571429e-07,1.14285714285714e-06,1.71428571428571e-07,1.71428571428571e-06,1.14285714285714e-06,7.71428571428571e-06
"51",55,0.70608,1e-05,3.78378378378378e-05,0.000756756756756757,0.778378378378378,0.562162162162162,0.00118918918918919,0.0540540540540541,18.5,5.40540540540541e-05,0.000186486486486486,2.05405405405405e-05,0.000162162162162162,2.75675675675676e-05,4.32432432432432e-05,7.02702702702703e-05,5.40540540540541e-05,8.27027027027027e-05,0.00783783783783784,2.7027027027027e-06,0.0018,5.40540540540541e-07,1.08108108108108e-06,2.16216216216216e-07,1.08108108108108e-06,1.62162162162162e-07,1.62162162162162e-06,1.08108108108108e-06,8.75675675675676e-06
"52",56,0.71021,1e-05,0.000113207547169811,0.00169811320754717,0.943396226415094,0.609433962264151,0.00433962264150943,0.339622641509434,5.3,0.000245283018867925,0.000154716981132075,0.000252830188679245,0.0367924528301887,0.000137735849056604,0.000169811320754717,0.000188679245283019,0.000132075471698113,0.000752830188679245,0.00754716981132075,9.43396226415094e-06,0.00456603773584906,2.9811320754717e-05,6.0377358490566e-05,7.92452830188679e-06,3.71698113207547e-05,1.13207547169811e-06,5.66037735849057e-06,3.0188679245283e-05,1.15094339622642e-05
"53",57,0.71021,1e-05,0.000113207547169811,0.00169811320754717,0.943396226415094,0.620754716981132,0.00584905660377358,0.339622641509434,5.3,0.000283018867924528,0.000162264150943396,0.000224528301886792,0.0416981132075472,0.000149056603773585,0.000188679245283019,0.000132075471698113,0.000132075471698113,0.000771698113207547,0.00773584905660377,9.43396226415094e-06,0.00467924528301887,3.52830188679245e-05,7.16981132075472e-05,1.05660377358491e-05,4.35849056603774e-05,1.69811320754717e-06,5.66037735849057e-06,3.9622641509434e-05,1.20754716981132e-05
"54",58,0.70947,1e-05,6.74157303370786e-05,0.00168539325842697,0.651685393258427,0.384269662921348,0.00146067415730337,0.202247191011236,8.9,0.000112359550561798,0.000178651685393258,4.8314606741573e-05,0.00134831460674157,6.62921348314607e-05,0.000146067415730337,0.000101123595505618,0.000191011235955056,0.000382022471910112,0.00730337078651685,2.47191011235955e-05,0.00302247191011236,1.57303370786517e-06,3.37078651685393e-06,5.61797752808989e-07,2.24719101123595e-06,3.37078651685393e-07,3.37078651685393e-06,4.49438202247191e-06,1e-05
"55",59,0.71377,1e-05,0.000714285714285714,0.005,2.85714285714286,0.257142857142857,0.025,1.78571428571429,1.4,0.00121428571428571,4e-04,0.00506428571428571,0.0235714285714286,0.000178571428571429,0.000357142857142857,0.000857142857142857,0.000285714285714286,0.0106857142857143,0.00928571428571429,1.42857142857143e-05,0.00457142857142857,7.57142857142857e-05,0.00015,1.71428571428571e-05,7.14285714285714e-05,2.14285714285714e-06,2.14285714285714e-05,5e-05,7.42857142857143e-05
"56",60,0.70906,1e-05,0.000461538461538461,0.00538461538461538,1.38461538461538,0.638461538461538,0.01,0.615384615384615,1.3,0.000923076923076923,7.69230769230769e-05,0.0793769230769231,0.0753846153846154,0.000476923076923077,0.000307692307692308,0.00138461538461538,0.000230769230769231,0.0033,0.0115384615384615,1.53846153846154e-05,0.019,2.23076923076923e-05,4.61538461538462e-05,5.38461538461538e-06,2.84615384615385e-05,2.30769230769231e-06,2.30769230769231e-05,1.53846153846154e-05,4.61538461538462e-06
"57",61,0.70839,2e-05,0.00013953488372093,0.00162790697674419,0.86046511627907,0.441860465116279,0.012093023255814,0.27906976744186,4.3,0.000697674418604651,0.000155813953488372,0.000209302325581395,0.017906976744186,0.000106976744186047,0.000186046511627907,6.97674418604651e-05,9.30232558139535e-05,0.000523255813953488,0.0118604651162791,4.65116279069768e-06,0.00679069767441861,2e-05,4.18604651162791e-05,5.34883720930233e-06,2.51162790697674e-05,6.97674418604651e-07,6.97674418604651e-06,1.3953488372093e-05,5.11627906976744e-06
"58",62,0.7078,1e-05,5.71428571428571e-05,0.00142857142857143,0.885714285714286,0.427619047619048,0.00114285714285714,0.123809523809524,10.5,0.000123809523809524,6.19047619047619e-05,6.38095238095238e-05,0.0107619047619048,0.000104761904761905,0.000123809523809524,7.61904761904762e-05,6.66666666666667e-05,0.000379047619047619,0.00742857142857143,1.23809523809524e-05,0.0025047619047619,3.23809523809524e-06,6.66666666666667e-06,1.04761904761905e-06,2.76190476190476e-06,2.85714285714286e-07,2.85714285714286e-06,6.66666666666667e-06,5.52380952380952e-06
